Type,Campaign,Negative keyword,Criterion type
Campaign negative keyword,MC_DE_Search_Conversions,kostenlos apk hack,Broad
Campaign negative keyword,MC_DE_Search_Conversions,stellenangebote,Broad
Campaign negative keyword,MC_DE_Search_Conversions,ausbildung,Broad
Campaign negative keyword,MC_DE_Search_Conversions,vorlage,Broad
Campaign negative keyword,MC_DE_Search_Conversions,wikipedia,Broad
Campaign negative keyword,MC_DE_Search_Conversions,definition,Broad
Campaign negative keyword,MC_DE_Search_Conversions,pdf formular,Broad
Campaign negative keyword,MC_DE_Search_Conversions,youtube,Broad
