Action,Type,Campaign,Negative keyword,Criterion type
Add,Campaign negative keyword,MC_DE_Search_Conversions,atorvastatin,Broad
Add,Campaign negative keyword,MC_DE_Search_Conversions,lisinopril,Broad
Add,Campaign negative keyword,MC_DE_Search_Conversions,metformin,Broad
Add,Campaign negative keyword,MC_DE_Search_Conversions,amoxicillin,Broad
Add,Campaign negative keyword,MC_DE_Search_Conversions,ibuprofen 600,Broad
Add,Campaign negative keyword,MC_DE_Search_Conversions,rezeptpflichtiges medikament,Broad
